brand,name,reviews_rating_number,review_amount,old_price,old_price_cents,new_price,new_price_cents
FILA,Tênis Fila Maxximus Unissex Para Corrida Esportivo Original,,,499,99,399,99
STREET WALKER,Tênis Masculino Academia Corrida Esportivo Leve Confortável,,,99,99,94,99
ON RUNNING,Tênis On Cloudeclipse Masculino - Cinza Rock / Lima,,,1.149,99,114,99
ON RUNNING,Tênis On Running Cloudhorizon Masculino - Safari / Ice,,,1.099,99,109,99
ON RUNNING,Tênis On Running Cloudsurfer Trail Masculino - Laranja,,,1.049,99,104,99
ON RUNNING,Tênis On Cloudsurfer Next Masculino - Preto / Iron,,,999,90,99,99
ON RUNNING,Tênis On Cloudtilt Masculino - Preto / Branco Ivory,,,1.049,99,104,99
ON RUNNING,Tênis On Running Cloudsurfer Trail Masculino - Cinza / Lima,,,1.049,99,104,99
NEW BALANCE,Tênis De Corrida New Balance Fresh Foam Arishiv4 Original,,,534,90,427,92
ON RUNNING,Tênis On Running Cloudmonster 2 Masculino - Preto / Lime,,,1.149,99,114,99
NIKE,Tênis Nike Flex Experience 12 Masculino,4.7,(216),259,99,25,21
,Tênis De Corrida Ultraleve Com Amortecedores De Impacto,,,220,66,31,52
ON RUNNING,Tênis On Running Cloudtilt Masculino - Azul Ultramarine,,,1.049,99,104,99
ASICS,Tênis Asics Gel Nimbus 26 Masculino Preto E Verde,,,1.199,99,119,99
FILA,Tenis Fila Float Maxxi 2 Masculino-azul/preto/laranja,,,639,99,511,99
MIZUNO,Tênis Masculino Mizuno Wave Mirai 6 Cod: 16928,,,499,99,464,99
FILA,Tenis Fila Float Maxxi 2 Masculino-azul/preto/laranja,,,639,99,511,99
NIKE,Tênis Nike Revolution 7 Masculino,4.7,(1582),399,99,319,99
ON RUNNING,Tênis On Running Cloudsurfer Masculino,,,949,90,94,99
MIZUNO,Tênis Masculino Mizuno Enigma Esportivo De Corrida Conforto,,,419,99,42,99
MIZUNO,Tênis Mizuno Masculino Marinho Cool Ride Corrida,,,349,99,35,99
OLYMPIKUS,Tênis Esportivo Átomo 837 Olympikus Unissex Performance,,,159,90,31,98
ASICS,Tênis Asics Original Gel Shinobi 2 Masculino Original Treino,,,479,90,359,92
FILA,Tênis Fila Racer Speedzone Masculino - Preto / Cinza,,,599,90,59,99
FILA,Tênis Fila Float Maxxi 2 Masculino Corrida Original,,,699,99,664,99
,Tênis Masculino Feminino Crossfit Academia Corrida Leve,,,79,33,26,33
FILA,Tênis Fila Maxximus Unissex Para Corrida Esportivo Original,,,499,99,399,99
,Tênis Preto Academia Caminhada Esportivo Confortável Barato,,,49,33,16,33
